                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.86913,                0.58624,                 1.1031,                0.59413,                0.52044,                0.51899,                0.25055,                  1.852,                 1.9742,                 2.0543,             0.00095271,             0.00095271,             0.00095271
                    104,                0.86315,                0.59295,                 1.0846,                0.66233,                0.51441,                0.54453,                0.27613,                 1.8706,                 1.8956,                 1.9704,               0.000948,               0.000948,               0.000948
                    105,                0.84311,                0.58556,                 1.0696,                0.60111,                0.54631,                0.52966,                0.27544,                 1.8026,                 1.9754,                 2.0456,             0.00094328,             0.00094328,             0.00094328
                    106,                0.85232,                0.60115,                  1.078,                0.67682,                0.53354,                0.58565,                0.29461,                 1.7965,                 1.8745,                 2.0006,             0.00093857,             0.00093857,             0.00093857
                    107,                0.84242,                0.57262,                 1.0883,                0.57516,                 0.5425,                0.51848,                0.28732,                 1.7175,                 2.1739,                 1.9248,             0.00093385,             0.00093385,             0.00093385
                    108,                0.83056,                0.58889,                 1.0696,                0.56053,                0.52689,                0.51617,                0.28136,                  1.836,                 2.0219,                 2.0639,             0.00092914,             0.00092914,             0.00092914
                    109,                0.83696,                0.59293,                 1.0746,                0.61512,                0.54596,                0.54507,                0.29094,                 1.8609,                 2.1844,                 2.0395,             0.00092442,             0.00092442,             0.00092442
                    110,                0.83806,                0.58487,                 1.0759,                0.61426,                0.55317,                0.57022,                0.29184,                 1.9169,                 2.0431,                 2.0715,              0.0009197,              0.0009197,              0.0009197
                    111,                0.84796,                0.57565,                 1.0849,                 0.6002,                0.57985,                0.59164,                0.31893,                 1.7275,                 1.8359,                 1.9849,             0.00091499,             0.00091499,             0.00091499
                    112,                0.84608,                0.57008,                 1.0722,                 0.5407,                0.53594,                0.48518,                0.25974,                 1.8441,                 2.0831,                 2.0505,             0.00091027,             0.00091027,             0.00091027
                    113,                0.83486,                0.57493,                 1.0754,                0.60098,                0.51614,                 0.5204,                0.27824,                 1.8678,                 1.9413,                 2.0885,             0.00090556,             0.00090556,             0.00090556
                    114,                0.79837,                0.54182,                 1.0563,                0.60552,                0.46427,                0.53563,                0.27301,                 1.9234,                 2.2647,                 2.1147,             0.00090084,             0.00090084,             0.00090084
                    115,                0.81731,                0.56737,                 1.0576,                0.69141,                0.47071,                0.56555,                0.29849,                 1.8304,                 2.0894,                  2.039,             0.00089613,             0.00089613,             0.00089613
                    116,                0.82214,                0.56521,                 1.0637,                0.66649,                 0.4863,                0.53051,                0.30238,                 1.8342,                 2.2471,                 2.0589,             0.00089141,             0.00089141,             0.00089141
                    117,                0.83444,                0.55866,                 1.0625,                 0.6763,                0.51253,                0.54763,                0.29451,                 1.7457,                 1.9646,                 1.9574,             0.00088669,             0.00088669,             0.00088669
                    118,                0.82299,                  0.552,                 1.0584,                 0.7606,                0.46001,                0.54711,                0.28491,                 1.8206,                 1.7918,                 2.0631,             0.00088198,             0.00088198,             0.00088198
                    119,                0.79585,                0.54027,                 1.0566,                0.55699,                 0.5554,                0.49012,                0.23896,                 1.8233,                 2.2677,                 2.0317,             0.00087726,             0.00087726,             0.00087726
                    120,                 0.8151,                0.55392,                 1.0603,                0.61118,                0.52583,                0.54791,                0.29313,                 1.7819,                 2.3113,                 1.9636,             0.00087255,             0.00087255,             0.00087255
                    121,                0.80581,                0.54773,                 1.0539,                 0.6113,                0.49037,                0.51456,                0.26717,                 1.8078,                  2.145,                 2.0542,             0.00086783,             0.00086783,             0.00086783
                    122,                0.80678,                0.56089,                 1.0602,                0.59917,                0.48237,                0.54614,                0.29243,                 1.7985,                 1.8629,                 2.0201,             0.00086312,             0.00086312,             0.00086312
                    123,                0.81178,                0.54349,                 1.0529,                0.63174,                0.55141,                0.56116,                0.28299,                 1.8619,                 1.9778,                 2.0783,              0.0008584,              0.0008584,              0.0008584
                    124,                0.79815,                0.54479,                 1.0597,                0.67906,                0.47644,                0.56288,                0.29774,                 1.8207,                 2.1411,                 1.9689,             0.00085368,             0.00085368,             0.00085368
                    125,                0.81652,                0.55071,                 1.0686,                0.57431,                0.57299,                0.56604,                0.28899,                 1.8837,                 1.9641,                 2.0134,             0.00084897,             0.00084897,             0.00084897
                    126,                0.81779,                0.55708,                 1.0635,                0.70136,                  0.515,                0.55203,                0.26798,                 1.8418,                 1.9313,                 2.0256,             0.00084425,             0.00084425,             0.00084425
                    127,                0.78131,                0.54242,                 1.0518,                0.58905,                0.57167,                0.58003,                0.29182,                 1.7937,                 1.8702,                 1.9885,             0.00083954,             0.00083954,             0.00083954
                    128,                0.77043,                0.51228,                 1.0376,                0.64779,                0.55745,                0.58142,                0.30469,                 1.8595,                 1.9838,                 2.0759,             0.00083482,             0.00083482,             0.00083482
                    129,                0.76849,                0.53982,                 1.0502,                0.59102,                0.54518,                0.55531,                0.28696,                 1.7714,                 1.9419,                 1.9719,             0.00083011,             0.00083011,             0.00083011
                    130,                0.76744,                0.53197,                 1.0359,                0.57506,                0.57145,                0.57421,                0.29091,                 1.7697,                 2.0049,                 1.9409,             0.00082539,             0.00082539,             0.00082539
                    131,                0.78065,                0.52932,                 1.0398,                 0.5607,                0.54157,                0.53526,                0.29067,                 1.8269,                 2.3115,                 1.9915,             0.00082067,             0.00082067,             0.00082067
                    132,                0.77751,                0.52042,                  1.046,                0.63018,                0.53815,                0.55946,                0.30099,                 1.7853,                 1.9665,                 1.9599,             0.00081596,             0.00081596,             0.00081596
                    133,                0.79752,                0.53475,                 1.0489,                0.63545,                0.50196,                0.52864,                0.28328,                 1.8708,                 2.1494,                 2.0081,             0.00081124,             0.00081124,             0.00081124
                    134,                0.77046,                0.51838,                 1.0397,                0.53412,                0.54222,                0.53535,                 0.2886,                 1.9203,                 1.9885,                 2.1521,             0.00080653,             0.00080653,             0.00080653
                    135,                  0.778,                0.52394,                  1.038,                0.61987,                0.48277,                0.53055,                0.28933,                 1.8393,                 1.9847,                 2.0915,             0.00080181,             0.00080181,             0.00080181
                    136,                0.76569,                 0.5317,                 1.0449,                  0.616,                0.53346,                0.55057,                0.29373,                 1.8243,                 2.0266,                 2.0213,              0.0007971,              0.0007971,              0.0007971
                    137,                0.75421,                0.50409,                 1.0284,                0.58672,                0.51614,                0.53721,                0.28149,                 1.9346,                 2.3643,                 2.1884,             0.00079238,             0.00079238,             0.00079238
                    138,                0.75354,                0.50773,                  1.033,                0.66171,                0.52573,                0.56319,                0.27324,                  1.875,                 1.8792,                  2.114,             0.00078766,             0.00078766,             0.00078766
                    139,                0.74263,                0.51343,                 1.0315,                0.60196,                0.57304,                0.54925,                0.28486,                 1.8342,                 1.8893,                 2.0318,             0.00078295,             0.00078295,             0.00078295
                    140,                0.76392,                0.51735,                 1.0313,                0.62241,                0.48832,                0.54723,                0.29364,                 1.8479,                  2.009,                 2.0902,             0.00077823,             0.00077823,             0.00077823
                    141,                0.76581,                0.52049,                 1.0408,                0.62188,                  0.568,                0.55985,                0.29286,                  1.866,                 1.8603,                 2.1647,             0.00077352,             0.00077352,             0.00077352
